nome,data lançamento,categoria,desenvolvedor,trailers
God of War 2,13 de março de 2007,Jogo de ação e aventura,Santa Monica Studio,https://www.youtube.com/watch?v=x9YH8oGdcm8&ab_channel=IGN
Undertale,15 de setembro de 2015,RPG,Toby Fox,https://www.youtube.com/watch?v=1Hojv0m3TqA&ab_channel=FwugRadiation
GTA San Andreas,26 de outubro de 2004,Mundo aberto,Rockstar North,https://www.youtube.com/watch?v=yOzcbtsw_pQ&ab_channel=IGN
five nights at freddy's,8 de agosto de 2014, Survival horror,"Scott Cawthon, Scottgames",https://www.youtube.com/watch?v=Ws-yd9YPfdE&ab_channel=IGN
Limbo,21 de julho de 2010,Indie,"Playdead, Double Eleven",https://www.youtube.com/watch?v=Y4HSyVXKYz8&ab_channel=Playdead
Doom Eternal,20 de março de 2020,FPS,"id Software, Panic Button Games",https://www.youtube.com/watch?v=_UuktemkCFI&ab_channel=BethesdaSoftworks
Guitar Hero III: Legends of Rock,28 de outubro de 2007,Jogo de ritmo,"RedOctane, Neversoft, Aspyr Media, Budcat Creations, Vicarious Visions",https://www.youtube.com/watch?v=aCtwnGyEGOU&ab_channel=redoctanestore
Dragon Ball Z: Budokai Tenkaichi 3,4 de outubro de 2007,Jogo  luta,Spike,https://www.youtube.com/watch?v=oxr1oiTmxd8&ab_channel=BANDAINAMCOEurope
Need for Speed: Underground 2,9 de novembro de 2004,Jogo de corrida,"Electronic Arts, EA Black Box, EA Vancouver, Pocketeers, Ideaworks Game Studio",https://www.youtube.com/watch?v=xYVIrJBJOhE&ab_channel=SRmasazuka
The Elder Scrolls IV: Oblivion,20 de março de 2006,RPG,"Bethesda Softworks, Bethesda Game Studios, 4J Studios, Superscape",https://www.youtube.com/watch?v=qJnnPh44Rlo&ab_channel=BethesdaSoftworks
God of War Ragnarok,9 de novembro de 2022,"Jogo de ação e aventura, RPG",Santa Monica Studio,https://www.youtube.com/watch?v=x6oF3Jxu7X0&ab_channel=PlayStationBrasil
Far cry 3,29 de novembro de 2012,"FPS, ""Mundo aberto""",Ubisoft,https://www.youtube.com/watch?v=Jn2njSaD4dk&ab_channel=UbisoftBrasil
Metal Gear The Phantom Pain ,1 de setembro de 2015,"Ação-aventura, stealth","Kojima Productions, Konami Digital Entertainment",https://www.youtube.com/watch?v=RhseWPWYPBA&ab_channel=KONAMI%E5%85%AC%E5%BC%8F
Red Dead Redemption 2,26 de outubro de 2018,jogo eletrônico de ação-aventura com temática faroeste,Rockstar Games,https://www.youtube.com/watch?v=WDvFz2LL1WI&ab_channel=RockstarGamesBrasil
Sons of the forest,23 de fevereiro de 2023,"Indie, Simulação",Endnight Games,https://www.youtube.com/watch?v=8sghWJKPWno&ab_channel=IGN
Watch Dogs Legion ,29 de outubro de 2020,Jogo de ação e aventura,Ubisoft,https://www.youtube.com/watch?v=srXrGKGAU20&ab_channel=IGN
Rainbow Six Siege,1 de dezembro de 2015,FPS Tático,Ubisoft,https://www.youtube.com/watch?v=YlVf0XCybmg&ab_channel=Ubisoft
Minecraft ,18 de novembro de 2011,Sandbox,Mojang Studios,https://www.youtube.com/watch?v=MmB9b5njVbA&ab_channel=Minecraft
Star Wars Jedi Fallen Order,10 de novembro de 2019,Jogo eletrônico de ação-aventura,Respawn Entertainment,https://www.youtube.com/watch?v=1wWkQXUMQYI&ab_channel=EAStarWars
Battlefield 1,21 de outubro de 2016,FPS,DICE,https://www.youtube.com/watch?v=c7nRTF2SowQ&ab_channel=Battlefield
Hollow Knight,24 de fevereiro de 2017,Indie,Team Cherry,https://www.youtube.com/watch?v=UAO2urG23S4&ab_channel=TeamCherry
Cyberpunk 2077,10 de dezembro de 2020,RPG,CD Projekt RED,https://www.youtube.com/watch?v=8X2kIfS6fb8&ab_channel=Cyberpunk2077
Dying Light,26 de janeiro de 2015,Survival horror,Techland,https://www.youtube.com/watch?v=CWX6DbAMTR4&ab_channel=GameSpot
Assassin's Creed Odyssey,5 de outubro de 2018,RPG,Ubisoft Quebec,https://www.youtube.com/watch?v=EIFHVyPdlBw&ab_channel=UbisoftBrasil
The Punisher,12 de abril de 2004,Ação e Aventura,Volition,https://www.youtube.com/watch?v=4R_RQQ0ugF0&ab_channel=NeoGamer-TheVideoGameArchive
Ratatouille ,26 de junho de 2007,Plataforma,Heavy Iron Studios,https://www.youtube.com/watch?v=Rv8lv6eMiaI&ab_channel=HeavyIronStudios
Ghost Rider ,13 de fevereiro de 2007,Ação/Aventura,Climax Group,https://www.youtube.com/watch?v=rgR8iDqW_HU&ab_channel=IGN
Residente Evil 4,11 de janeiro de 2005,Survival Horror,Capcom,https://www.youtube.com/watch?v=1KTghW30ZuY&ab_channel=PlayscopeTimeline
Midnight Club 3: DUB Edition Remix,11 de abril de 2005,ogo eletrônico de corrida,Rockstar San Diego,https://www.youtube.com/watch?v=bAail_J5dYs&ab_channel=RockstarBaseYouTube
Dino Crisis,1 de julho de 1999,Survival Horror,Capcom,https://www.youtube.com/watch?v=nh09pKHVjBk&ab_channel=VideoDetective
Crash Bandicoot,9 de setembro de 1996,Corrida ,Naughty Dog ,https://www.youtube.com/watch?v=n_pwOxMhhGs&ab_channel=LeBandicoot
Ghost of Tsushima,17 de julho de 2020,Jogo eletrônico de ação e aventura,Sucker Punch Productions,https://www.youtube.com/watch?v=iqysmS4lxwQ&ab_channel=IGN
The Last of Us Part II ,19 de junho de 2020,Survival horror,Naughty Dog,https://www.youtube.com/watch?v=16RlfA39vhM&ab_channel=PlayStationBrasil
Little Nightmares,28 de abril de 2017,Aventura,Tarsier Studios,https://www.youtube.com/watch?v=aOadxZBsPiA&ab_channel=GameSpot
Metro 2033,16 de março de 2010,FPS,4A Games,https://www.youtube.com/watch?v=rUOCBCTRNl0&ab_channel=GameSpot
The Witcher® 3: Wild Hunt,18 de maio de 2015,RPG,CD Projekt RED,https://www.youtube.com/watch?v=53MyR_Z3i1w&ab_channel=GameSpot
The Elder Scrolls V: Skyrim,11 de novembro de 2011,RPG,Bethesda Game Studios,https://www.youtube.com/watch?v=JSRtYpNRoN0&ab_channel=BethesdaSoftworks
Fallout,30 de setembro de 1997,RPG eletrônico,Interplay Entertainment,https://www.youtube.com/watch?v=60vqfUQHqc0&ab_channel=Gamesinfo
Diablo III,15 de maio de 2012,Dungeon crawler,Blizzard Entertainment,https://www.youtube.com/watch?v=aaCZGs0PeLs&ab_channel=Pedroca
Bloodborne,24 de março de 2015,Soulslike,FromSoftware,https://www.youtube.com/watch?v=G203e1HhixY&ab_channel=PlayStation
Dark Souls III,24 de março de 2016,Soulslike,FromSoftware,https://www.youtube.com/watch?v=cWBwFhUv1-8&ab_channel=PlayStation
Elden Ring,25 de fevereiro de 2022,Soulslike,FromSoftware,https://www.youtube.com/watch?v=AKXiKBnzpBQ&ab_channel=GameSpot
Destiny 2,28 de agosto de 2017,MMORPG,Bungie,https://www.youtube.com/watch?v=RfUoz1_i5_E&ab_channel=Destiny2
Dead Island 2,21 de abril de 2023,Ação,Deep Silver Dambuster Studios,https://www.youtube.com/watch?v=abYGYJZBmmY&ab_channel=GameSpot
Diablo IV,6 de junho de 2023,Dungeon crawler,Blizzard Entertainment,https://www.youtube.com/watch?v=vL44VbiSnpY&ab_channel=DiabloBrasil
Street Fighter 6,2 de junho de 2023,Luta,Capcom,https://www.youtube.com/watch?v=qqW4ENjH-pg&ab_channel=PlayStationBrasil
Mortal Kombat 11,23 de abril de 2019,Luta,Warner Bros. Interactive Entertainment,https://www.youtube.com/watch?v=UoTams2yc0s&ab_channel=MortalKombat
Stardew Valley,26 de fevereiro de 2016,Indie,ConcernedApe,https://www.youtube.com/watch?v=ot7uXNQskhs&ab_channel=ConcernedApe
Half Life 2 ,16 de novembro de 2004,Ação,Valve Corporation,https://www.youtube.com/watch?v=ID1dWN3n7q4&ab_channel=JustinasSobieski%27s
Postal 2,14 de abril de 2003,FPS,"Running with Scissors, Inc.",https://www.youtube.com/watch?v=C6rqiv4U5mg